i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
19,47,0.0913787982072585,0,0.0,,
34,69,0.0918411636221484,0,0.0,,
17,40,0.0931764165333675,0,0.0,,
66,82,0.0939294948142183,0,0.0,,
0,19,0.0947041502173774,0,0.0,,
57,98,0.0975068387586423,0,0.0,,
15,63,0.0975084435395211,0,0.0,,
30,98,0.0977861715345681,1,0.16666666666666666,0.0026974022360629,0.09508876929850521
19,23,0.0987857425697541,0,0.0,,
2,20,0.0994514923129748,1,0.16666666666666666,0.0619304067248834,0.037521085588091405
52,68,0.1003345706146019,0,0.0,,
5,68,0.1017762153547308,0,0.0,,
26,66,0.1022641670238325,0,0.0,,
21,92,0.1043769458468055,0,0.0,,
10,57,0.1050613852478841,0,0.0,,
15,46,0.1056533692277287,0,0.0,,
41,43,0.1058441147033677,0,0.0,,
23,57,0.1059355882770871,3,0.5,0.08955977088456878,0.016375817392518324
74,92,0.1070618270509174,0,0.0,,
24,29,0.1094378522104608,1,0.16666666666666666,0.0668190029520816,0.04261884925837921
39,98,0.1106789223059276,2,0.3333333333333333,0.11402454150767305,0.003345619201745448
4,62,0.1109361800339002,1,0.16666666666666666,0.1304044694813291,0.019468289447428913
28,45,0.1112819337539147,1,0.16666666666666666,0.107699601946348,0.0035823318075666882
8,14,0.1116511046125779,5,0.8333333333333334,0.12160707841061502,0.009955973798037115
42,50,0.1141044477787107,0,0.0,,
11,74,0.1141765616992731,0,0.0,,
78,86,0.1152230243303748,0,0.0,,
12,64,0.1160071067335369,0,0.0,,
23,98,0.1161079674334122,0,0.0,,
4,25,0.1162592056731358,0,0.0,,
23,77,0.116651511315434,0,0.0,,
33,84,0.1176714175669913,0,0.0,,
48,80,0.1180383564946221,0,0.0,,
44,73,0.1180697235743477,0,0.0,,
61,75,0.1183615201239565,0,0.0,,
15,32,0.1202592874564381,0,0.0,,
22,66,0.1208648257800857,0,0.0,,
11,47,0.121934219510162,0,0.0,,
61,68,0.1222276331721431,0,0.0,,
61,91,0.1223186025489821,0,0.0,,
75,82,0.124078399880564,0,0.0,,
27,80,0.128383204009383,0,0.0,,
0,3,0.1301709878130358,5,0.8333333333333334,0.15120234766753787,0.02103135985450208
2,21,0.1342453139442438,6,1.0,0.1427496991360789,0.008504385191835107
40,51,0.135959787143935,5,0.8333333333333334,0.09550968692211652,0.04045010022181848
14,69,0.1362358678079442,1,0.16666666666666666,0.1041393160075527,0.03209655180039149
23,63,0.136321020164036,0,0.0,,
28,71,0.1374296090250016,3,0.5,0.17657425210292657,0.03914464307792498
8,84,0.1397976298604592,0,0.0,,
0,23,0.1406102276471267,0,0.0,,
16,44,0.1412777330157724,4,0.6666666666666666,0.062151673174757345,0.07912605984101506
30,84,0.1434675326106771,0,0.0,,
19,44,0.1438071546125226,0,0.0,,
69,73,0.1461488280633342,0,0.0,,
19,92,0.1479569074410186,0,0.0,,
50,79,0.1498807813258537,1,0.16666666666666666,0.0655441718757388,0.0843366094501149
4,29,0.1508896128544321,1,0.16666666666666666,0.0981022011744096,0.05278741168002249
34,72,0.1518515022151733,0,0.0,,
20,58,0.1551692165125573,0,0.0,,
83,95,0.1553366235500497,5,0.8333333333333334,0.12509000902397577,0.03024661452607394
22,89,0.1564171946905538,2,0.3333333333333333,0.0637217822205006,0.0926954124700532
73,87,0.1569357266363197,1,0.16666666666666666,0.0574554187286892,0.09948030790763049
32,81,0.1573730101568048,0,0.0,,
10,37,0.1613135570656292,0,0.0,,
18,72,0.1618529584991567,0,0.0,,
17,90,0.163639783982319,2,0.3333333333333333,0.062027793925043095,0.10161199005727589
16,94,0.1675998949921419,1,0.16666666666666666,0.0926299868487366,0.07496990814340529
22,52,0.1693250292131376,0,0.0,,
46,60,0.1700879531574595,0,0.0,,
